0    64
0    65
0    66
0    67
0    71
0    77
0    85
1    96
1    109
1    125
1    144
2    164
1    187
1    213
1    242
1    274
0    307
0    345
-1    386
-1    429
-2    475
-2    524
-2    576
-2    633
-2    692
-1    755
0    822
2    892
4    967
6    1044
10    1126
14    1212
18    1302
24    1396
31    1494
38    1597
47    1705
57    1815
69    1931
82    2052
97    2177
113    2307
132    2442
153    2582
176    2727
202    2878
230    3033
261    3194
295    3360
333    3532
374    3709
418    3892
466    4081
519    4275
575    4475
636    4681
702    4893
772    5111
848    5355
929    5565
1016    5801
1109    6044
1208    6292
1313    6547
1425    6809
1544    7076
1670    7350
1804    7631
1916    7860
1945    7918
2094    8211
2252    8510
2417    8816
2592    9129
2775    9447
2968    9772
3170    10103
3382    10441
3605    10785
3838    11136
4082    11493
4337    11856
4605    12226
4884    12601
5176    12983
5357    13216
5481    13373
5798    13766
6130    14167
6474    14574
6833    14988
7206     15408
7593    15835
7995    16269
8412    16709
8843    17156
9290    17611
9752    18072
10230    18541
10723    19017
11233    19501
11760    19991
12304    20489
12866    20994
13445    21506
14043    22026
14659    22552
15295    23085
15950    23625
16624    24172
17319    24727
18034    25288
18769    25856
19526    26431
20303    27013
21104    27603
21926    28199
22771    28803
23639    29413
24528    30031
25442    30655
26380    31287
27342    31926
28328    32572
29340    33225
30377    33886
31439    34553
32528    35227
33644    35909
34787    36591
35957    37292
37155    37994
38381    38703
39638    39419
40923    40141
42237    40871
43583    41608
44958    42352
46365    43103
46591    43224
47802    43860
49267    44322
50756    45387
52271    46155
53813    46928
55381    47704
56976    48484
58599    49269
60249    50055
61927    50846
63633    51641
65368    52440
67132    53242
68915    54049
70749    54859
72602    55674
74486    56492
76402    57315
78348    58141
80327    58972
82337    59808
84381    60647
86458    61491
88568    62339
90713    63192
92903    64054
94272    64588
95111    64915
